Запрос: Метод поиска (0 - deterministic, 1 - llm): 
>>> Режим: deterministic

2026-08-30 15:28:00,700 INFO    | mtr.agent.executor               | [Executor] Execute query='Составь план обслуживания участка UNIT-SYN-H2S-001 на следующий месяц и перечисли нужные запчасти' mode=deterministic request_id=None
2026-08-30 15:28:00,700 INFO    | mtr.agent.executor               | [Executor] No parsed query, running HybridParser...
2026-08-30 15:28:01,405 INFO    | mtr.agent.executor               | [Executor] Parsed: confidence=0.54 operations=['inventory', 'plan'] item_types=[] technical_filters={'medium': 'H2S', 'h2s_confirmed': True} ambiguities=['Не удалось определить тип детали'] (705ms)
2026-08-30 15:28:01,406 INFO    | mtr.agent.executor               | [Executor] Parsed enriched: status=COMPLETE intents=['CHECK_STOCK'] missing={'CHECK_STOCK': []}
2026-08-30 15:28:01,406 INFO    | mtr.agent.executor               | [Executor] Intent resolved: inventory
2026-08-30 15:28:01,406 INFO    | mtr.agent.executor               | [Executor] Invoking graph...
2026-08-30 15:28:01,630 DEBUG   | neo4j.pool                       | [#0000]  _: <POOL> created, direct address IPv4Address(('neo4j', 7687))
2026-08-30 15:28:01,630 DEBUG   | neo4j                            | [#0000]  _: <WORKSPACE> routing towards fixed database: None
2026-08-30 15:28:01,631 DEBUG   | neo4j                            | [#0000]  _: <WORKSPACE> pinning database: None
2026-08-30 15:28:01,631 DEBUG   | neo4j.pool                       | [#0000]  _: <POOL> acquire direct connection, access_mode='READ', database=AcquisitionDatabase(name=None, guessed=False)
2026-08-30 15:28:01,631 DEBUG   | neo4j.pool                       | [#0000]  _: <POOL> trying to hand out new connection
2026-08-30 15:28:01,631 DEBUG   | neo4j.io                         | [#0000]  _: <RESOLVE> in: neo4j:7687
2026-08-30 15:28:01,631 DEBUG   | neo4j.io                         | [#0000]  _: <RESOLVE> dns resolver out: 172.18.0.4:7687
2026-08-30 15:28:01,631 DEBUG   | neo4j.io                         | [#0000]  C: <OPEN> 172.18.0.4:7687
2026-08-30 15:28:01,632 DEBUG   | neo4j.io                         | [#C7D4]  C: <MAGIC> 0x6060B017
2026-08-30 15:28:01,632 DEBUG   | neo4j.io                         | [#C7D4]  C: <HANDSHAKE> 0x000001FF 0x00080805 0x00020404 0x00000003
2026-08-30 15:28:01,634 DEBUG   | neo4j.io                         | [#C7D4]  S: <HANDSHAKE> 0x000001FF [3] 0x00040404 0x00040405 0x00020805 0x00
2026-08-30 15:28:01,634 DEBUG   | neo4j.io                         | [#C7D4]  C: <HANDSHAKE> 0x00000805 0x00
2026-08-30 15:28:01,635 DEBUG   | neo4j.io                         | [#C7D4]  C: HELLO {'user_agent': 'neo4j-python/6.3.0 Python/3.11.16-final-0 (linux)', 'bolt_agent': {'product': 'neo4j-python/6.3.0', 'platform': 'Linux 6.6.114.1-microsoft-standard-WSL2; x86_64', 'language': 'Python/3.11.16-final-0', 'language_details': 'CPython; 3.11.16-final-0 (main, Aug 25 2026 01:17:44) [GCC 14.2.0]'}}
2026-08-30 15:28:01,635 DEBUG   | neo4j.io                         | [#C7D4]  _: <CONNECTION> client state: CONNECTED > AUTHENTICATION
2026-08-30 15:28:01,635 DEBUG   | neo4j.io                         | [#C7D4]  C: LOGON {'scheme': 'basic', 'principal': 'neo4j', 'credentials': '*******'}
2026-08-30 15:28:01,635 DEBUG   | neo4j.io                         | [#C7D4]  _: <CONNECTION> client state: AUTHENTICATION > READY
2026-08-30 15:28:01,637 DEBUG   | neo4j.io                         | [#C7D4]  S: SUCCESS {'server': 'Neo4j/5.26.30', 'protocol_version': '5.8', 'connection_id': 'bolt-1', 'hints': {'connection.recv_timeout_seconds': 120, 'ssr.enabled': True}}
2026-08-30 15:28:01,638 DEBUG   | neo4j.io                         | [#C7D4]  _: <CONNECTION> server state: CONNECTED > AUTHENTICATION
2026-08-30 15:28:01,640 DEBUG   | neo4j.io                         | [#C7D4]  S: SUCCESS {'advertised_address': 'localhost:7687'}
2026-08-30 15:28:01,640 DEBUG   | neo4j.io                         | [#C7D4]  _: <CONNECTION> server state: AUTHENTICATION > READY
2026-08-30 15:28:01,640 DEBUG   | neo4j.pool                       | [#C7D4]  _: <POOL> released bolt-1
2026-08-30 15:28:01,641 DEBUG   | neo4j                            | [#0000]  _: <WORKSPACE> routing towards fixed database: None
2026-08-30 15:28:01,641 DEBUG   | neo4j                            | [#0000]  _: <WORKSPACE> pinning database: None
2026-08-30 15:28:01,641 DEBUG   | neo4j.pool                       | [#0000]  _: <POOL> acquire direct connection, access_mode='WRITE', database=AcquisitionDatabase(name=None, guessed=False)
2026-08-30 15:28:01,641 DEBUG   | neo4j.pool                       | [#C7D4]  _: <POOL> picked existing connection bolt-1
2026-08-30 15:28:01,641 DEBUG   | neo4j.pool                       | [#C7D4]  _: <POOL> checked re_auth auth=None updated=False force=False
2026-08-30 15:28:01,641 DEBUG   | neo4j.pool                       | [#C7D4]  _: <POOL> handing out existing connection
2026-08-30 15:28:01,641 DEBUG   | neo4j.io                         | [#C7D4]  C: RUN 'MATCH (c:Component) WHERE c.unit_id = $unit RETURN properties(c) AS comp' {'unit': 'UNIT-SYN-H2S-001'} {}
2026-08-30 15:28:01,641 DEBUG   | neo4j.io                         | [#C7D4]  _: <CONNECTION> client state: READY > STREAMING
2026-08-30 15:28:01,641 DEBUG   | neo4j.io                         | [#C7D4]  C: PULL {'n': 1000}
2026-08-30 15:28:01,648 DEBUG   | neo4j.io                         | [#C7D4]  S: SUCCESS {'t_first': 5, 'fields': ['comp'], 'db': 'neo4j'}
