Запрос: Метод поиска (0 - deterministic, 1 - llm): 
>>> Режим: deterministic

2026-08-30 16:40:55,019 INFO    | mtr.agent.executor               | [Executor] Execute query='Найди паспорта и ТУ для всех деталей участка UNIT-SYN-H2S-001 и покажи чего не хватает' mode=deterministic request_id=None
2026-08-30 16:40:55,019 INFO    | mtr.agent.executor               | [Executor] No parsed query, running HybridParser...
2026-08-30 16:40:55,889 INFO    | mtr.agent.executor               | [Executor] Parsed: confidence=0.44 operations=['check', 'search', 'document'] item_types=[] technical_filters={'medium': 'H2S', 'h2s_confirmed': True} ambiguities=['Не удалось определить тип детали'] (870ms)
2026-08-30 16:40:55,890 INFO    | mtr.agent.executor               | [Executor] Parsed enriched: status=COMPLETE intents=['CHECK_STOCK', 'FIND_DOCUMENTS', 'FIND_STANDARDS'] missing={'CHECK_STOCK': [], 'FIND_DOCUMENTS': [], 'FIND_STANDARDS': []}
2026-08-30 16:40:55,923 INFO    | mtr.agent.executor               | [Executor] Intent resolved: document_search
2026-08-30 16:40:55,923 INFO    | mtr.agent.executor               | [Executor] Invoking graph...
2026-08-30 16:40:56,081 INFO    | mtr.repository                   | DbRepository: loaded 1000 MTR items from DB
2026-08-30 16:40:56,092 INFO    | mtr.repository                   | DbRepository: loaded 1000 CandidateItems for stock lookup
2026-08-30 16:40:56,147 INFO    | mtr.repository                   | DbRepository: catalog built with 1000 cards
2026-08-30 16:40:56,352 DEBUG   | neo4j.pool                       | [#0000]  _: <POOL> created, direct address IPv4Address(('neo4j', 7687))
2026-08-30 16:40:56,352 DEBUG   | neo4j                            | [#0000]  _: <WORKSPACE> routing towards fixed database: None
2026-08-30 16:40:56,352 DEBUG   | neo4j                            | [#0000]  _: <WORKSPACE> pinning database: None
2026-08-30 16:40:56,352 DEBUG   | neo4j.pool                       | [#0000]  _: <POOL> acquire direct connection, access_mode='READ', database=AcquisitionDatabase(name=None, guessed=False)
2026-08-30 16:40:56,352 DEBUG   | neo4j.pool                       | [#0000]  _: <POOL> trying to hand out new connection
2026-08-30 16:40:56,352 DEBUG   | neo4j.io                         | [#0000]  _: <RESOLVE> in: neo4j:7687
2026-08-30 16:40:56,353 DEBUG   | neo4j.io                         | [#0000]  _: <RESOLVE> dns resolver out: 172.18.0.4:7687
2026-08-30 16:40:56,354 DEBUG   | neo4j.io                         | [#0000]  C: <OPEN> 172.18.0.4:7687
2026-08-30 16:40:56,354 DEBUG   | neo4j.io                         | [#D77A]  C: <MAGIC> 0x6060B017
2026-08-30 16:40:56,354 DEBUG   | neo4j.io                         | [#D77A]  C: <HANDSHAKE> 0x000001FF 0x00080805 0x00020404 0x00000003
2026-08-30 16:40:56,391 DEBUG   | neo4j.io                         | [#D77A]  S: <HANDSHAKE> 0x000001FF [3] 0x00040404 0x00040405 0x00020805 0x00
2026-08-30 16:40:56,391 DEBUG   | neo4j.io                         | [#D77A]  C: <HANDSHAKE> 0x00000805 0x00
2026-08-30 16:40:56,392 DEBUG   | neo4j.io                         | [#D77A]  C: HELLO {'user_agent': 'neo4j-python/6.3.0 Python/3.11.16-final-0 (linux)', 'bolt_agent': {'product': 'neo4j-python/6.3.0', 'platform': 'Linux 6.6.114.1-microsoft-standard-WSL2; x86_64', 'language': 'Python/3.11.16-final-0', 'language_details': 'CPython; 3.11.16-final-0 (main, Aug 25 2026 01:17:44) [GCC 14.2.0]'}}
2026-08-30 16:40:56,392 DEBUG   | neo4j.io                         | [#D77A]  _: <CONNECTION> client state: CONNECTED > AUTHENTICATION
2026-08-30 16:40:56,392 DEBUG   | neo4j.io                         | [#D77A]  C: LOGON {'scheme': 'basic', 'principal': 'neo4j', 'credentials': '*******'}
2026-08-30 16:40:56,392 DEBUG   | neo4j.io                         | [#D77A]  _: <CONNECTION> client state: AUTHENTICATION > READY
2026-08-30 16:40:56,408 DEBUG   | neo4j.io                         | [#D77A]  S: SUCCESS {'server': 'Neo4j/5.26.30', 'protocol_version': '5.8', 'connection_id': 'bolt-4', 'hints': {'connection.recv_timeout_seconds': 120, 'ssr.enabled': True}}
2026-08-30 16:40:56,408 DEBUG   | neo4j.io                         | [#D77A]  _: <CONNECTION> server state: CONNECTED > AUTHENTICATION
2026-08-30 16:40:56,436 DEBUG   | neo4j.io                         | [#D77A]  S: SUCCESS {'advertised_address': 'localhost:7687'}
2026-08-30 16:40:56,436 DEBUG   | neo4j.io                         | [#D77A]  _: <CONNECTION> server state: AUTHENTICATION > READY
2026-08-30 16:40:56,436 DEBUG   | neo4j.pool                       | [#D77A]  _: <POOL> released bolt-4
2026-08-30 16:40:56,437 DEBUG   | neo4j                            | [#0000]  _: <WORKSPACE> routing towards fixed database: None
2026-08-30 16:40:56,437 DEBUG   | neo4j                            | [#0000]  _: <WORKSPACE> pinning database: None
2026-08-30 16:40:56,437 DEBUG   | neo4j.pool                       | [#0000]  _: <POOL> acquire direct connection, access_mode='WRITE', database=AcquisitionDatabase(name=None, guessed=False)
2026-08-30 16:40:56,437 DEBUG   | neo4j.pool                       | [#D77A]  _: <POOL> picked existing connection bolt-4
2026-08-30 16:40:56,437 DEBUG   | neo4j.pool                       | [#D77A]  _: <POOL> checked re_auth auth=None updated=False force=False
2026-08-30 16:40:56,437 DEBUG   | neo4j.pool                       | [#D77A]  _: <POOL> handing out existing connection
2026-08-30 16:40:56,437 DEBUG   | neo4j.io                         | [#D77A]  C: RUN 'MATCH (c:Component) WHERE c.unit_id = $unit RETURN properties(c) AS comp' {'unit': 'UNIT-SYN-H2S-001'} {}
2026-08-30 16:40:56,437 DEBUG   | neo4j.io                         | [#D77A]  _: <CONNECTION> client state: READY > STREAMING
2026-08-30 16:40:56,437 DEBUG   | neo4j.io                         | [#D77A]  C: PULL {'n': 1000}
2026-08-30 16:40:56,472 DEBUG   | neo4j.io                         | [#D77A]  S: SUCCESS {'t_first': 31, 'fields': ['comp'], 'db': 'neo4j'}
2026-08-30 16:40:56,472 DEBUG   | neo4j.io                         | [#D77A]  _: <CONNECTION> server state: READY > STREAMING
2026-08-30 16:40:56,483 DEBUG   | neo4j.io                         | [#D77A]  S: RECORD * 1
2026-08-30 16:40:56,483 DEBUG   | neo4j.io                         | [#D77A]  S: RECORD * 1
2026-08-30 16:40:56,484 DEBUG   | neo4j.io                         | [#D77A]  S: RECORD * 1
2026-08-30 16:40:56,484 DEBUG   | neo4j.io                         | [#D77A]  S: RECORD * 1
2026-08-30 16:40:56,484 DEBUG   | neo4j.io                         | [#D77A]  S: RECORD * 1
2026-08-30 16:40:56,484 DEBUG   | neo4j.io                         | [#D77A]  S: RECORD * 1
2026-08-30 16:40:56,484 DEBUG   | neo4j.io                         | [#D77A]  S: SUCCESS {'bookmark': 'FB:kcwQNMalH7rAQjyug+8eyvkDuckAppA=', 'statuses': [{'gql_status': '00000', 'status_description': 'note: successful completion'}], 'type': 'r', 't_last': 6, 'db': 'neo4j'}
2026-08-30 16:40:56,484 DEBUG   | neo4j.io                         | [#D77A]  _: <CONNECTION> server state: STREAMING > READY
2026-08-30 16:40:56,484 DEBUG   | neo4j.pool                       | [#D77A]  _: <POOL> released bolt-4
2026-08-30 16:40:56,489 INFO    | mtr.agent.tools                  | [graph_search] Found 6 components, 6 targets in 340ms
2026-08-30 16:40:56,490 INFO    | mtr.agent.tools                  | [catalog_search] Loaded 1000 cards from repository
2026-08-30 16:40:56,498 INFO    | mtr.agent.tools                  | [catalog_search] Found 40 candidates (from 1000 cards) in 8ms
2026-08-30 16:40:56,500 INFO    | mtr.agent.tools                  | [rules_engine] Scored 40 candidates in 1ms
2026-08-30 16:40:56,505 INFO    | mtr.agent.tools                  | [regulation_lookup] Checked 3 regulations in 3ms
2026-08-30 16:40:56,511 INFO    | mtr.agent.executor               | [Executor] Graph finished in 588ms: components=86 sources=48 warnings=3 tools_used=['graph_search', 'catalog_search', 'rules_engine', 'regulation_lookup'] completed=False
2026-08-30 16:40:56,512 INFO    | mtr.agent.executor               | [Executor] Answer found in state, returning directly

========================================================================
>>> ОТВЕТ (как возвращается):
