card_id;mtr_code;ksm_code;item_type;subtype;name;designation;dn;outer_diameter;wall_thickness;d1;d2;angle;pn;steel_grade;strength_class;medium;medium_compatibility_status;h2s_confirmed;co2_confirmed;inner_coating;outer_coating;climate_version;gost_tu;standard;stock_qty;unit;synthetic
SYN-REG-CARD-000001;MTR-SYN-REG-000001;KSM-SYN-REG-000001;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 530x16 09ГСФ;Труба бесшовная горячедеформированная 530x16 09ГСФ;500;530;16;;;;160;09ГСФ;К56;газ с H2S и CO2;requires_tu_lnd_passport;;;;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;19;pcs;True
SYN-REG-CARD-000002;MTR-SYN-REG-000002;KSM-SYN-REG-000002;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 133x6 13ХФА;Труба бесшовная горячедеформированная 133x6 13ХФА;125;133;6;;;;16;13ХФА;К48;нефть;requires_project_and_passport;;;False;False;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;49;pcs;True
SYN-REG-CARD-000003;MTR-SYN-REG-000003;KSM-SYN-REG-000003;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 09Г2С;Труба бесшовная горячедеформированная 89x6 09Г2С;80;89;6;;;;40;09Г2С;К52;природный газ;requires_project_and_passport;;;False;;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;13;pcs;True
SYN-REG-CARD-000004;MTR-SYN-REG-000004;KSM-SYN-REG-000004;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 219x10 13ХФА;Труба бесшовная горячедеформированная 219x10 13ХФА;200;219;10;;;;25;13ХФА;К48;природный газ;requires_project_and_passport;;;False;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;52;pcs;True
SYN-REG-CARD-000005;MTR-SYN-REG-000005;KSM-SYN-REG-000005;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 09Г2С;Труба бесшовная горячедеформированная 89x6 09Г2С;80;89;6;;;;25;09Г2С;К52;нефть;requires_project_and_passport;;;False;False;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;50;pcs;True
SYN-REG-CARD-000006;MTR-SYN-REG-000006;KSM-SYN-REG-000006;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 377x12 20;Труба бесшовная горячедеформированная 377x12 20;350;377;12;;;;40;20;К48;коррозионно-активная среда;requires_tu_lnd_passport;;;;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;44;pcs;True
SYN-REG-CARD-000007;MTR-SYN-REG-000007;KSM-SYN-REG-000007;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 530x16 09ГСФ;Труба бесшовная горячедеформированная 530x16 09ГСФ;500;530;16;;;;40;09ГСФ;К42;нефть;requires_project_and_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;37;pcs;True
SYN-REG-CARD-000008;MTR-SYN-REG-000008;KSM-SYN-REG-000008;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 20;Труба бесшовная горячедеформированная 108x6 20;100;108;6;;;;25;20;К42;газ с H2S;requires_tu_lnd_passport;;;False;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;73;pcs;True
SYN-REG-CARD-000009;MTR-SYN-REG-000009;KSM-SYN-REG-000009;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 09ГСФ;Труба бесшовная горячедеформированная 89x6 09ГСФ;80;89;6;;;;25;09ГСФ;К56;коррозионно-активная среда;requires_tu_lnd_passport;;;;False;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;20;pcs;True
SYN-REG-CARD-000010;MTR-SYN-REG-000010;KSM-SYN-REG-000010;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 13ХФА;Труба бесшовная горячедеформированная 89x6 13ХФА;80;89;6;;;;16;13ХФА;К48;природный газ;requires_project_and_passport;;;False;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;47;pcs;True
SYN-REG-CARD-000011;MTR-SYN-REG-000011;KSM-SYN-REG-000011;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 13ХФА;Труба бесшовная горячедеформированная 89x6 13ХФА;80;89;6;;;;25;13ХФА;К52;газ с H2S;requires_tu_lnd_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;19;pcs;True
SYN-REG-CARD-000012;MTR-SYN-REG-000012;KSM-SYN-REG-000012;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 219x10 20;Труба бесшовная горячедеформированная 219x10 20;200;219;10;;;;25;20;К52;нефть;requires_project_and_passport;;;True;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;20;pcs;True
SYN-REG-CARD-000013;MTR-SYN-REG-000013;KSM-SYN-REG-000013;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 57x4 13ХФА;Труба бесшовная горячедеформированная 57x4 13ХФА;50;57;4;;;;25;13ХФА;К52;газ с H2S;requires_tu_lnd_passport;;;False;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;60;pcs;True
SYN-REG-CARD-000014;MTR-SYN-REG-000014;KSM-SYN-REG-000014;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 273x10 13ХФА;Труба бесшовная горячедеформированная 273x10 13ХФА;250;273;10;;;;100;13ХФА;К52;газ с CO2;requires_tu_lnd_passport;;;False;False;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;26;pcs;True
SYN-REG-CARD-000015;MTR-SYN-REG-000015;KSM-SYN-REG-000015;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 13ХФА;Труба бесшовная горячедеформированная 108x6 13ХФА;100;108;6;;;;63;13ХФА;К52;газ с CO2;requires_tu_lnd_passport;;;True;;У;ГОСТ 8731-2025;ГОСТ 8731-2025;11;pcs;True
SYN-REG-CARD-000016;MTR-SYN-REG-000016;KSM-SYN-REG-000016;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 09Г2С;Труба бесшовная горячедеформированная 89x6 09Г2С;80;89;6;;;;40;09Г2С;К48;нефть;requires_project_and_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;20;pcs;True
SYN-REG-CARD-000017;MTR-SYN-REG-000017;KSM-SYN-REG-000017;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 09ГСФ;Труба бесшовная горячедеформированная 108x6 09ГСФ;100;108;6;;;;25;09ГСФ;К56;газ с H2S и CO2;requires_tu_lnd_passport;;;False;;У;ГОСТ 8731-2025;ГОСТ 8731-2025;12;pcs;True
