from_id;relation;to_id
COMP-SYN-001;PART_OF;UNIT-SYN-GAS-001
COMP-SYN-001;USES_MTR;SYN-REG-CARD-000008
UNIT-SYN-GAS-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-002;PART_OF;UNIT-SYN-GAS-001
COMP-SYN-002;USES_MTR;SYN-REG-CARD-000221
UNIT-SYN-GAS-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-003;PART_OF;UNIT-SYN-GAS-001
COMP-SYN-003;USES_MTR;SYN-REG-CARD-000444
UNIT-SYN-GAS-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-004;PART_OF;UNIT-SYN-GAS-001
COMP-SYN-004;USES_MTR;SYN-REG-CARD-000591
UNIT-SYN-GAS-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-005;PART_OF;UNIT-SYN-GAS-001
COMP-SYN-005;USES_MTR;SYN-REG-CARD-000752
UNIT-SYN-GAS-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-006;PART_OF;UNIT-SYN-GAS-001
COMP-SYN-006;USES_MTR;SYN-REG-CARD-000876
UNIT-SYN-GAS-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-007;PART_OF;UNIT-SYN-H2S-001
COMP-SYN-007;USES_MTR;SYN-REG-CARD-000004
UNIT-SYN-H2S-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-008;PART_OF;UNIT-SYN-H2S-001
COMP-SYN-008;USES_MTR;SYN-REG-CARD-000225
UNIT-SYN-H2S-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-009;PART_OF;UNIT-SYN-H2S-001
COMP-SYN-009;USES_MTR;SYN-REG-CARD-000441
UNIT-SYN-H2S-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-010;PART_OF;UNIT-SYN-H2S-001
COMP-SYN-010;USES_MTR;SYN-REG-CARD-000593
UNIT-SYN-H2S-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-011;PART_OF;UNIT-SYN-H2S-001
COMP-SYN-011;USES_MTR;SYN-REG-CARD-000743
UNIT-SYN-H2S-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-012;PART_OF;UNIT-SYN-H2S-001
COMP-SYN-012;USES_MTR;SYN-REG-CARD-000888
UNIT-SYN-H2S-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-013;PART_OF;UNIT-SYN-CO2-001
COMP-SYN-013;USES_MTR;SYN-REG-CARD-000003
UNIT-SYN-CO2-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-014;PART_OF;UNIT-SYN-CO2-001
COMP-SYN-014;USES_MTR;SYN-REG-CARD-000227
UNIT-SYN-CO2-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-015;PART_OF;UNIT-SYN-CO2-001
COMP-SYN-015;USES_MTR;SYN-REG-CARD-000450
UNIT-SYN-CO2-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-016;PART_OF;UNIT-SYN-CO2-001
COMP-SYN-016;USES_MTR;SYN-REG-CARD-000605
UNIT-SYN-CO2-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-017;PART_OF;UNIT-SYN-CO2-001
COMP-SYN-017;USES_MTR;SYN-REG-CARD-000746
UNIT-SYN-CO2-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-018;PART_OF;UNIT-SYN-CO2-001
COMP-SYN-018;USES_MTR;SYN-REG-CARD-000877
UNIT-SYN-CO2-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-019;PART_OF;UNIT-SYN-MIX-001
COMP-SYN-019;USES_MTR;SYN-REG-CARD-000001
UNIT-SYN-MIX-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-020;PART_OF;UNIT-SYN-MIX-001
COMP-SYN-020;USES_MTR;SYN-REG-CARD-000222
UNIT-SYN-MIX-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-021;PART_OF;UNIT-SYN-MIX-001
COMP-SYN-021;USES_MTR;SYN-REG-CARD-000443
UNIT-SYN-MIX-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-022;PART_OF;UNIT-SYN-MIX-001
COMP-SYN-022;USES_MTR;SYN-REG-CARD-000602
UNIT-SYN-MIX-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-023;PART_OF;UNIT-SYN-MIX-001
COMP-SYN-023;USES_MTR;SYN-REG-CARD-000762
UNIT-SYN-MIX-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-024;PART_OF;UNIT-SYN-MIX-001
COMP-SYN-024;USES_MTR;SYN-REG-CARD-000871
UNIT-SYN-MIX-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-025;PART_OF;UNIT-SYN-OIL-001
COMP-SYN-025;USES_MTR;SYN-REG-CARD-000002
UNIT-SYN-OIL-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-026;PART_OF;UNIT-SYN-OIL-001
COMP-SYN-026;USES_MTR;SYN-REG-CARD-000226
UNIT-SYN-OIL-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-027;PART_OF;UNIT-SYN-OIL-001
COMP-SYN-027;USES_MTR;SYN-REG-CARD-000442
UNIT-SYN-OIL-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-028;PART_OF;UNIT-SYN-OIL-001
COMP-SYN-028;USES_MTR;SYN-REG-CARD-000592
UNIT-SYN-OIL-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-029;PART_OF;UNIT-SYN-OIL-001
COMP-SYN-029;USES_MTR;SYN-REG-CARD-000741
UNIT-SYN-OIL-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-030;PART_OF;UNIT-SYN-OIL-001
COMP-SYN-030;USES_MTR;SYN-REG-CARD-000872
UNIT-SYN-OIL-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-031;PART_OF;UNIT-SYN-WATER-001
COMP-SYN-031;USES_MTR;SYN-REG-CARD-000016
UNIT-SYN-WATER-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-032;PART_OF;UNIT-SYN-WATER-001
COMP-SYN-032;USES_MTR;SYN-REG-CARD-000223
UNIT-SYN-WATER-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-033;PART_OF;UNIT-SYN-WATER-001
COMP-SYN-033;USES_MTR;SYN-REG-CARD-000455
UNIT-SYN-WATER-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-034;PART_OF;UNIT-SYN-WATER-001
COMP-SYN-034;USES_MTR;SYN-REG-CARD-000623
UNIT-SYN-WATER-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-035;PART_OF;UNIT-SYN-WATER-001
COMP-SYN-035;USES_MTR;SYN-REG-CARD-000747
UNIT-SYN-WATER-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-036;PART_OF;UNIT-SYN-WATER-001
COMP-SYN-036;USES_MTR;SYN-REG-CARD-000878
UNIT-SYN-WATER-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-037;PART_OF;UNIT-SYN-CORR-001
COMP-SYN-037;USES_MTR;SYN-REG-CARD-000019
UNIT-SYN-CORR-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-038;PART_OF;UNIT-SYN-CORR-001
COMP-SYN-038;USES_MTR;SYN-REG-CARD-000229
UNIT-SYN-CORR-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-039;PART_OF;UNIT-SYN-CORR-001
COMP-SYN-039;USES_MTR;SYN-REG-CARD-000446
UNIT-SYN-CORR-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-040;PART_OF;UNIT-SYN-CORR-001
COMP-SYN-040;USES_MTR;SYN-REG-CARD-000612
UNIT-SYN-CORR-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-041;PART_OF;UNIT-SYN-CORR-001
COMP-SYN-041;USES_MTR;SYN-REG-CARD-000742
UNIT-SYN-CORR-001;PART_OF;OBJ-SYN-GAS-001
COMP-SYN-042;PART_OF;UNIT-SYN-CORR-001
COMP-SYN-042;USES_MTR;SYN-REG-CARD-000875
UNIT-SYN-CORR-001;PART_OF;OBJ-SYN-GAS-001
